R,S,T,I_R,I_S,I_T,Kondisi
231.33,231.67,231.68,1.15,1.12,1.15,0
240.47,240.78,240.5,1.13,1.14,1.12,0
233.41,241.34,238.73,1.34,1.38,1.43,1
240.98,241.16,237.92,1.43,1.43,1.44,0
241.82,236.25,244.63,1.13,0.98,1.18,1
233.55,232.86,233.62,1.15,1.18,1.18,0
231.07,231.08,231.26,1.14,1.14,1.13,0
242.42,242.73,234.53,1.21,1.31,1.16,1
242.54,242.13,242.39,0.99,1.0,0.99,0
237.08,236.91,237.18,1.1,1.1,1.09,0
237.76,237.33,237.23,1.12,1.11,1.13,0
229.97,229.9,230.13,1.09,1.1,1.1,0
235.73,236.87,233.55,0.92,1.17,0.87,1
243.03,240.95,230.03,1.28,1.08,1.02,1
239.08,239.8,239.76,1.01,1.02,1.02,0
235.56,240.19,236.09,1.5,0.85,1.34,1
242.16,243.94,235.1,1.32,1.31,0.92,1
232.83,232.2,232.25,1.18,1.17,1.18,0
232.5,232.15,232.0,1.05,1.05,1.05,0
236.44,241.87,240.19,0.94,1.4,0.81,1
242.29,239.77,232.06,0.85,0.87,1.16,1
236.68,236.84,235.91,1.12,1.12,1.12,0
232.08,239.5,231.05,1.05,1.09,1.46,1
238.71,237.72,236.27,0.95,1.07,0.8,1
237.32,237.19,237.5,1.12,1.09,1.13,0
234.19,233.62,234.45,1.13,1.11,1.14,0
240.2,240.03,240.31,1.12,1.13,1.14,0
239.53,233.9,234.6,1.37,1.45,1.32,1
241.0,238.95,231.92,0.86,1.01,1.3,1
241.9,241.99,242.81,1.12,1.1,1.11,0
230.42,230.49,230.32,1.19,1.17,1.18,0
230.7,230.3,241.87,1.0,1.04,0.88,1
241.59,241.71,241.39,1.05,1.09,1.06,0
237.95,237.81,238.51,1.21,1.18,1.19,0
231.27,231.51,231.78,1.17,1.2,1.19,0
236.12,236.51,235.84,1.14,1.13,1.14,0
241.36,237.76,235.99,1.13,1.42,0.86,1
239.69,244.55,240.02,0.9,0.88,1.36,1
234.41,235.57,237.24,1.39,1.05,0.82,1
242.79,243.26,242.94,1.01,1.0,1.03,0
234.75,234.84,235.06,1.01,1.01,1.02,0
233.17,234.93,241.55,0.95,1.48,1.13,1
243.6,242.45,232.64,0.82,1.18,0.83,1
232.24,233.0,232.83,1.1,1.1,1.11,0
233.24,232.49,232.9,1.07,1.07,1.08,0
232.86,230.9,242.63,1.36,1.37,0.98,1
243.79,243.59,244.1,1.06,1.03,1.06,0
232.07,238.3,239.78,1.34,1.16,0.96,1
237.12,238.02,237.59,1.09,1.11,1.11,0
241.04,241.74,241.19,1.18,1.2,1.21,0
243.04,236.73,230.8,1.24,1.14,0.81,1
234.35,234.77,234.81,1.13,1.13,1.13,0
240.16,240.91,231.45,1.37,0.85,1.29,1
243.19,233.72,236.64,1.29,0.83,1.05,1
234.22,234.03,234.08,1.16,1.15,1.14,0
230.24,232.49,231.62,1.29,1.47,1.4,1
233.17,232.89,233.38,1.19,1.21,1.18,0
241.44,241.76,241.41,1.2,1.17,1.19,0
233.37,240.03,238.45,1.45,0.82,0.89,1
237.32,237.28,236.96,1.02,1.01,1.03,0
236.8,236.92,236.76,1.17,1.16,1.15,0
230.23,238.0,230.34,0.83,0.96,0.84,1
233.86,234.45,234.2,1.1,1.1,1.08,0
238.6,238.7,238.34,1.19,1.2,1.18,0
235.99,235.79,236.15,1.07,1.05,1.06,0
242.98,238.43,241.04,1.17,1.49,1.34,1
240.59,241.18,241.19,1.07,1.05,1.05,0
244.27,243.47,230.33,0.91,1.38,1.36,1
239.67,239.15,239.59,1.13,1.12,1.11,0
244.27,236.59,244.34,1.23,1.25,1.2,1
231.15,231.68,231.47,1.07,1.08,1.07,0
242.44,243.05,243.21,1.19,1.17,1.19,0
232.54,232.61,233.0,0.98,0.99,1.01,0
240.05,238.98,236.78,0.9,1.08,0.81,1
230.76,230.41,230.58,1.06,1.06,1.05,0
233.99,233.85,233.55,1.05,1.03,1.04,0
242.79,239.74,241.72,0.97,0.83,1.11,1
240.61,241.02,241.15,1.06,1.08,1.07,0
240.53,241.19,240.51,1.15,1.15,1.15,0
230.13,230.24,229.94,1.2,1.19,1.18,0
234.12,233.19,233.58,1.14,1.15,1.15,0
231.49,243.03,240.98,1.21,1.37,1.17,1
233.75,233.47,234.01,1.18,1.17,1.18,0
237.37,242.26,230.64,0.97,1.35,0.85,1
241.05,241.02,241.01,1.14,1.11,1.14,0
237.37,237.62,237.63,1.07,1.05,1.04,0
241.09,241.03,241.4,1.15,1.17,1.17,0
237.54,237.83,238.21,1.17,1.15,1.17,0
244.62,244.63,245.06,1.18,1.15,1.18,0
232.13,232.0,232.75,1.12,1.1,1.1,0
233.45,236.64,235.46,0.87,0.83,0.81,1
243.05,243.62,242.82,1.06,1.05,1.04,0
233.02,235.51,230.19,1.39,1.03,0.84,1
231.25,230.66,231.35,1.13,1.1,1.13,0
241.97,230.72,233.74,1.45,1.4,0.99,1
233.5,236.03,234.52,0.86,1.22,1.42,1
237.13,236.58,236.88,1.06,1.03,1.04,0
233.54,233.43,233.36,1.07,1.06,1.08,0
238.39,238.11,231.21,0.9,0.96,1.34,1
237.93,237.72,237.23,1.11,1.12,1.11,0
231.7,230.41,233.06,1.23,1.26,1.43,1
244.47,244.63,244.2,1.05,1.04,1.04,0
243.79,232.58,234.98,1.46,1.34,1.04,1
231.32,231.57,231.76,1.2,1.2,1.19,0
237.11,237.14,236.87,1.09,1.08,1.08,0
236.85,237.52,237.74,1.19,1.2,1.18,0
244.57,244.55,244.73,1.1,1.1,1.09,0
243.78,244.39,243.88,1.13,1.13,1.14,0
237.03,233.8,235.4,1.33,1.49,0.86,1
237.17,237.59,236.98,1.16,1.17,1.15,0
230.46,241.31,237.57,1.17,1.13,1.33,1
244.67,244.14,244.49,1.03,1.05,1.06,0
231.89,235.71,230.27,1.36,1.27,1.33,1
231.52,231.36,231.82,0.99,1.01,1.0,0
242.5,242.76,242.68,1.03,1.04,1.03,0
243.31,243.85,243.92,1.17,1.16,1.14,0
243.0,234.16,241.36,1.41,1.43,1.07,1
237.31,237.16,236.89,1.15,1.14,1.14,0
238.26,230.43,239.5,0.89,1.31,1.11,1
237.45,237.07,236.89,1.14,1.12,1.14,0
236.16,236.47,235.7,1.05,1.04,1.05,0
238.02,243.94,235.99,1.02,0.94,1.19,1
232.17,231.74,232.39,1.02,1.04,1.04,0
235.64,241.51,235.39,1.49,0.82,1.13,1
237.92,243.88,233.18,1.15,1.16,1.47,1
230.65,243.72,242.79,1.24,1.4,1.03,1
235.33,235.77,234.8,1.19,1.16,1.16,0
237.55,237.13,236.7,1.16,1.15,1.16,0
238.98,231.55,244.16,1.02,1.13,1.39,1
235.54,243.94,234.38,1.47,1.36,0.99,1
231.15,235.29,231.93,1.29,1.36,0.81,1
239.92,240.08,239.62,1.11,1.1,1.11,0
235.87,235.59,236.15,1.14,1.11,1.13,0
238.41,238.54,238.5,1.07,1.08,1.09,0
240.93,240.82,241.11,0.98,0.99,1.0,0
234.04,234.07,234.61,1.02,1.05,1.02,0
232.93,242.46,236.53,0.96,0.92,1.15,1
235.21,243.33,232.64,1.43,1.48,1.28,1
233.34,233.51,233.94,1.09,1.1,1.09,0
232.43,232.24,232.36,1.07,1.08,1.1,0
236.53,244.47,243.36,0.93,1.26,1.28,1
240.45,240.48,241.31,1.03,0.99,1.01,0
232.75,235.31,240.07,1.19,1.44,1.26,1
239.25,232.67,234.07,1.05,1.16,1.09,1
241.26,241.24,240.62,1.05,1.07,1.06,0
232.18,232.13,231.7,1.06,1.07,1.07,0
243.65,243.83,243.59,1.07,1.03,1.05,0
243.66,243.33,243.59,1.16,1.13,1.13,0
241.43,242.13,241.4,1.14,1.13,1.16,0
244.08,239.9,238.49,1.05,1.47,0.85,1
243.76,236.88,241.57,1.5,1.2,1.04,1
234.75,234.79,234.67,1.21,1.19,1.19,0
244.09,231.85,234.94,0.94,0.99,1.34,1
232.36,242.71,243.94,1.36,1.03,0.9,1
230.98,230.69,230.94,1.07,1.06,1.08,0
241.92,239.54,235.41,1.19,1.17,1.39,1
234.68,244.71,232.52,1.04,0.87,1.02,1
233.36,237.52,238.88,1.24,1.02,0.97,1
238.47,231.26,230.38,1.43,1.04,1.24,1
230.25,229.86,230.12,1.01,1.01,1.02,0
233.86,233.62,233.58,1.11,1.12,1.12,0
238.34,237.79,238.18,1.07,1.06,1.06,0
236.17,236.53,236.37,1.12,1.13,1.1,0
237.57,237.93,237.41,1.2,1.19,1.17,0
244.24,243.75,244.11,1.17,1.15,1.18,0
233.12,233.73,233.57,1.07,1.04,1.04,0
231.14,231.5,231.21,1.06,1.03,1.04,0
244.91,242.11,244.8,0.94,1.29,0.86,1
230.88,230.25,230.6,1.12,1.15,1.12,0
232.27,232.71,232.76,1.12,1.13,1.11,0
231.81,231.54,232.22,1.19,1.19,1.2,0
238.97,237.17,240.03,1.28,1.02,1.01,1
237.27,237.76,237.3,1.06,1.07,1.06,0
236.93,237.18,237.84,1.1,1.11,1.1,0
242.1,241.89,242.48,1.1,1.12,1.1,0
240.12,240.21,239.6,1.16,1.15,1.15,0
234.21,240.72,236.19,0.88,1.18,1.18,1
238.22,236.85,239.46,1.48,1.22,1.47,1
242.19,242.63,242.38,1.01,1.02,1.01,0
237.62,237.29,237.33,1.09,1.07,1.09,0
232.08,244.17,235.4,1.21,1.35,1.02,1
233.5,236.87,238.41,0.82,1.19,1.28,1
230.03,235.23,233.91,0.95,1.0,1.4,1
239.96,240.35,231.59,1.1,1.31,1.42,1
237.79,242.9,241.99,1.28,1.25,1.41,1
233.48,233.91,234.19,1.12,1.11,1.12,0
231.7,237.81,240.79,0.82,1.06,1.19,1
233.32,236.04,235.52,1.27,1.1,1.31,1
242.28,240.47,238.87,0.89,1.07,0.93,1
233.98,244.44,233.51,1.32,1.17,1.01,1
230.48,243.81,238.91,1.39,1.27,0.87,1
239.08,243.08,240.76,1.25,1.04,1.46,1
244.22,235.76,233.81,0.84,1.35,1.4,1
239.25,233.57,244.9,0.86,0.82,1.44,1
234.11,234.2,234.85,1.15,1.14,1.17,0
239.44,241.7,235.97,1.33,1.48,1.13,1
240.25,239.47,240.06,1.03,1.01,1.01,0
243.26,243.05,243.04,1.03,1.06,1.04,0
239.0,231.02,240.68,1.27,0.85,1.16,1
240.49,238.98,244.67,0.93,0.94,0.97,1
241.18,241.41,241.77,1.1,1.07,1.07,0
239.8,232.42,234.43,0.99,1.07,1.23,1
235.81,232.64,240.77,1.15,0.83,1.0,1
243.6,243.09,243.19,1.13,1.11,1.11,0
240.74,241.08,240.91,1.02,0.99,1.03,0
244.32,244.87,244.53,1.15,1.12,1.12,0
238.52,237.25,233.8,0.91,1.2,1.23,1
232.72,243.86,238.59,1.32,0.91,0.87,1
244.43,245.37,244.86,1.19,1.21,1.2,0
236.14,236.5,236.01,1.07,1.09,1.08,0
234.63,234.83,235.29,1.04,1.06,1.06,0
239.07,238.15,238.83,1.13,1.13,1.15,0
243.37,238.98,244.67,1.38,1.08,1.1,1
231.77,231.45,231.31,1.17,1.16,1.15,0
242.79,242.93,243.22,1.08,1.09,1.09,0
242.39,240.88,238.21,0.81,1.31,1.46,1
241.03,240.85,240.97,1.08,1.08,1.06,0
235.64,235.27,235.98,1.04,1.04,1.04,0
233.74,237.87,237.83,1.04,0.86,1.21,1
238.44,238.49,239.03,1.2,1.17,1.19,0
237.31,234.44,234.43,0.83,1.17,1.07,1
233.6,231.32,232.11,0.85,1.02,0.84,1
230.29,229.95,230.04,1.08,1.07,1.07,0
241.93,232.36,231.38,1.03,1.41,0.82,1
231.39,231.5,231.74,1.19,1.16,1.19,0
240.84,240.23,244.19,0.98,1.25,1.04,1
235.12,237.96,242.69,0.98,0.84,1.1,1
235.42,231.56,244.11,0.91,0.87,1.1,1
241.84,232.14,235.93,1.06,0.88,0.95,1
236.32,236.28,236.38,1.05,1.04,1.03,0
244.0,230.68,238.9,1.45,1.01,0.88,1
239.18,243.86,239.5,1.09,1.02,1.2,1
238.62,236.88,240.72,1.18,1.04,1.2,1
239.58,233.85,234.35,1.14,1.41,1.44,1
244.49,244.16,244.3,1.08,1.17,1.23,1
236.0,241.97,236.75,1.24,1.34,1.23,1
231.53,232.4,238.19,1.07,0.9,1.05,1
233.66,234.39,237.43,0.91,1.36,1.46,1
238.89,232.99,244.5,1.14,0.99,1.08,1
233.06,232.89,233.08,1.18,1.18,1.19,0
230.87,231.68,231.22,1.05,1.06,1.05,0
231.69,237.55,236.67,1.03,1.24,1.26,1
240.7,240.51,240.26,1.14,1.15,1.15,0
238.16,238.68,238.35,1.1,1.11,1.1,0
239.71,233.9,241.02,1.23,1.23,0.83,1
234.89,231.73,234.51,1.4,1.26,1.24,1
238.08,244.46,238.95,1.41,0.83,1.44,1
243.6,243.13,243.19,1.03,1.03,1.04,0
233.66,231.45,237.38,1.21,0.98,0.81,1
233.25,233.76,235.16,1.47,1.4,1.22,1
231.2,230.5,230.7,1.18,1.18,1.15,0
233.44,234.59,234.98,1.13,0.93,0.96,1
233.13,243.83,238.76,0.87,0.84,1.45,1
237.9,238.33,238.01,1.12,1.14,1.14,0
237.82,237.66,238.21,1.14,1.16,1.15,0
235.87,236.44,235.8,1.12,1.14,1.13,0
231.46,231.5,231.19,1.14,1.14,1.15,0
231.02,231.1,231.06,1.18,1.17,1.16,0
233.67,233.12,233.27,1.0,1.03,1.03,0
239.0,239.25,239.19,1.05,1.03,1.06,0
235.28,235.96,235.61,1.07,1.05,1.04,0
236.14,241.26,241.39,1.06,1.34,1.02,1
231.35,236.57,243.95,1.23,1.41,1.05,1
239.48,244.87,233.12,1.09,1.25,1.18,1
237.03,230.48,231.54,1.04,1.03,1.33,1
233.09,233.67,233.66,1.1,1.08,1.08,0
241.14,241.8,241.62,1.08,1.08,1.11,0
243.89,243.09,243.97,1.15,1.14,1.14,0
233.97,231.74,230.44,1.22,0.85,0.96,1
237.14,237.52,237.37,1.18,1.17,1.19,0
230.75,232.2,232.86,1.31,1.28,0.97,1
233.36,237.73,241.58,1.4,1.24,1.48,1
243.96,243.67,244.25,1.02,1.0,1.03,0
230.74,241.32,238.51,1.06,1.4,0.81,1
242.36,241.49,230.21,1.49,1.29,0.84,1
236.1,235.67,235.68,1.17,1.16,1.16,0
236.36,236.33,236.18,1.07,1.07,1.08,0
234.81,235.05,235.51,1.01,0.99,1.0,0
231.62,232.08,231.47,1.09,1.11,1.09,0
238.35,237.85,237.92,1.2,1.2,1.18,0
243.85,242.34,243.48,0.88,1.28,1.01,1
230.34,232.24,236.08,1.26,0.91,0.93,1
239.41,240.03,240.85,0.94,1.1,1.01,1
243.34,234.37,244.93,1.36,0.92,1.02,1
233.96,234.11,234.92,1.18,1.18,1.2,0
235.68,244.65,232.51,1.36,1.33,1.19,1
237.62,233.43,241.85,1.46,1.11,1.08,1
232.47,231.77,233.36,1.01,1.2,1.06,1
232.25,232.54,231.49,1.02,1.23,1.36,1
231.35,236.91,233.75,0.88,0.9,0.92,1
237.75,237.38,237.82,1.15,1.14,1.16,0
243.81,232.08,243.69,1.38,1.22,1.09,1
242.74,243.17,242.71,1.06,1.06,1.07,0
243.64,243.87,244.14,1.03,1.04,1.03,0
234.19,234.53,234.33,1.12,1.15,1.14,0
236.92,242.77,239.37,1.08,1.03,1.08,1
233.66,232.44,243.4,1.28,0.82,0.92,1
230.92,233.64,234.78,0.92,1.17,1.24,1
231.67,235.03,243.01,1.28,1.02,0.84,1
231.56,240.54,234.06,0.86,1.42,0.82,1
241.33,240.99,241.56,1.18,1.19,1.18,0
241.86,241.82,241.7,1.19,1.18,1.19,0
231.14,230.64,231.17,1.05,1.04,1.06,0
232.55,238.67,232.49,0.88,1.48,1.2,1
241.96,242.21,241.77,1.1,1.09,1.08,0
236.91,236.67,242.09,1.48,1.06,1.33,1
232.55,243.81,244.57,1.46,1.36,1.49,1
236.72,236.65,236.88,1.19,1.17,1.18,0
233.29,233.03,241.22,1.2,1.21,0.89,1
236.15,235.92,235.57,0.99,1.01,0.99,0
244.87,244.96,244.95,1.01,1.01,1.0,0
234.9,235.02,234.67,1.07,1.07,1.08,0
244.76,235.39,237.08,1.14,0.85,1.48,1
238.52,238.57,238.29,1.03,1.0,1.02,0
236.17,236.61,236.67,1.0,1.01,1.01,0
231.49,240.3,235.58,1.37,1.11,1.43,1
233.32,234.66,230.39,0.95,0.92,0.82,1
230.92,237.96,238.27,1.43,0.96,1.0,1
244.09,241.69,236.68,1.28,1.06,1.5,1
235.42,240.19,236.96,1.15,1.26,1.02,1
243.27,230.59,235.45,1.35,1.23,0.99,1
230.52,232.1,241.29,1.32,1.08,0.82,1
238.69,243.93,231.28,1.47,0.87,1.16,1
233.83,233.3,239.63,1.49,1.16,1.0,1
232.14,241.84,231.13,0.91,1.42,1.23,1
241.77,241.46,241.6,1.03,1.05,1.05,0
241.2,241.18,241.57,1.02,1.04,1.02,0
231.48,230.87,231.44,1.13,1.13,1.14,0
233.86,233.17,233.67,1.1,1.12,1.1,0
232.48,232.2,232.7,1.07,1.07,1.07,0
239.2,242.74,244.36,0.91,1.04,1.21,1
235.69,240.7,237.45,1.08,1.21,0.83,1
230.3,230.53,230.26,1.13,1.13,1.15,0
234.35,235.83,244.83,1.42,0.82,0.95,1
236.5,236.82,236.53,1.07,1.04,1.07,0
243.5,236.1,241.47,1.19,0.95,1.32,1
242.51,242.55,242.95,1.12,1.12,1.1,0
241.76,235.43,240.77,1.38,1.47,0.84,1
244.46,245.19,244.82,1.11,1.1,1.1,0
235.67,237.45,237.36,1.3,1.16,1.28,1
244.54,244.02,244.26,1.16,1.18,1.16,0
240.83,232.45,238.7,1.18,1.06,0.9,1
245.31,245.35,245.27,1.02,1.05,1.03,0
236.19,244.37,240.73,1.34,1.47,1.23,1
233.22,232.93,232.75,1.2,1.21,1.19,0
231.23,233.75,232.54,1.27,1.43,1.0,1
239.97,239.4,239.78,1.1,1.09,1.08,0
233.33,233.37,233.91,1.07,1.07,1.05,0
241.06,241.74,237.26,1.03,1.23,0.96,1
236.9,236.74,236.64,1.1,1.08,1.09,0
233.99,234.23,234.1,1.2,1.21,1.21,0
232.19,242.71,241.81,1.17,1.03,1.34,1
234.76,234.34,234.3,1.08,1.08,1.1,0
238.71,239.36,238.57,1.17,1.18,1.19,0
235.56,235.4,235.48,1.07,1.05,1.05,0
233.45,234.1,233.58,1.14,1.16,1.16,0
230.72,240.62,238.36,0.99,1.49,0.8,1
232.78,232.34,233.09,1.07,1.06,1.05,0
242.09,232.98,230.32,1.45,1.4,1.39,1
237.86,233.76,236.25,1.29,1.36,1.31,1
234.55,237.32,240.07,1.43,1.14,1.3,1
232.54,232.84,232.61,1.13,1.13,1.14,0
234.34,233.68,234.39,1.15,1.13,1.14,0
244.37,243.82,244.16,0.99,1.0,0.99,0
237.73,237.09,237.49,1.17,1.18,1.17,0
234.52,234.63,234.48,1.03,1.03,1.02,0
236.81,236.4,236.98,1.01,1.01,1.01,0
240.8,244.01,244.12,1.37,0.98,1.03,1
238.91,239.29,238.98,1.17,1.18,1.18,0
244.17,244.58,244.33,1.14,1.13,1.16,0
233.75,233.84,234.23,1.09,1.12,1.12,0
243.37,242.91,243.04,1.18,1.17,1.17,0
232.28,236.55,232.8,1.41,1.2,1.07,1
230.84,232.63,244.56,1.07,0.94,1.03,1
240.32,239.54,240.34,1.13,1.15,1.15,0
236.84,236.91,236.94,1.18,1.19,1.19,0
236.23,236.45,236.59,1.17,1.15,1.16,0
239.71,240.06,240.47,1.05,1.05,1.04,0
236.4,235.26,241.71,1.25,1.21,0.95,1
230.38,230.65,231.09,1.1,1.09,1.12,0
236.47,236.72,235.88,1.15,1.16,1.18,0
239.3,233.05,236.33,1.34,1.04,1.04,1
239.22,241.34,232.67,1.27,1.39,0.8,1
241.21,240.75,240.44,1.21,1.19,1.17,0
234.98,234.81,235.05,1.14,1.13,1.14,0
234.9,239.43,235.83,0.97,1.09,1.15,1
234.06,234.35,234.06,1.06,1.07,1.06,0
236.05,236.2,236.34,1.0,1.03,1.02,0
234.04,233.63,234.08,1.11,1.11,1.1,0
232.05,232.84,232.7,1.1,1.11,1.09,0
234.25,238.49,242.04,1.11,1.32,0.95,1
231.52,232.33,231.52,0.99,1.0,1.0,0
239.0,238.61,238.68,1.06,1.08,1.1,0
233.29,233.14,232.87,1.07,1.1,1.08,0
239.99,241.46,240.55,1.46,0.98,1.15,1
244.16,243.98,244.58,1.01,1.01,0.99,0
233.95,234.19,233.7,1.14,1.14,1.12,0
242.02,242.76,242.01,1.18,1.16,1.15,0
240.65,240.66,240.7,1.09,1.08,1.06,0
239.8,242.24,240.1,1.25,1.43,0.87,1
242.34,240.14,243.02,1.39,0.81,1.26,1
237.01,236.79,236.39,1.06,1.06,1.06,0
232.81,242.67,236.06,1.12,1.35,0.94,1
239.05,239.26,241.16,0.85,0.94,1.17,1
241.13,240.97,240.85,1.13,1.09,1.1,1
230.96,230.79,230.43,1.09,1.11,1.1,0
231.41,230.89,230.97,1.06,1.05,1.04,0
232.61,239.02,243.53,1.44,0.89,1.48,1
241.31,241.65,242.03,1.13,1.16,1.16,0
241.77,242.08,242.41,1.14,1.16,1.15,0
232.81,232.82,232.85,1.05,1.06,1.02,1
242.65,234.36,232.09,1.18,1.22,0.98,1
236.33,236.21,235.72,1.02,1.03,1.03,0
233.72,230.25,233.77,0.83,1.46,1.27,1
230.13,232.7,237.81,1.34,1.23,1.15,1
235.68,244.92,237.32,1.18,0.91,1.0,1
235.67,243.53,232.49,0.83,1.37,1.36,1
232.83,233.11,232.68,1.19,1.18,1.16,0
239.02,239.46,239.16,1.08,1.06,1.08,0
243.96,243.87,244.3,1.11,1.11,1.12,0
240.59,230.48,240.21,1.28,1.06,0.97,1
243.09,243.39,243.18,1.14,1.12,1.12,0
232.92,233.46,236.35,1.38,0.81,1.07,1
232.35,232.73,232.28,1.13,1.14,1.14,0
241.57,240.89,240.87,1.03,1.05,1.04,0
235.51,242.01,240.27,1.17,1.25,1.08,1
236.06,236.18,236.15,1.17,1.16,1.16,0
235.67,235.89,236.42,1.05,1.04,1.07,0
238.38,234.88,234.77,0.81,1.46,1.25,1
243.39,234.31,230.89,1.05,1.11,0.96,1
232.54,232.77,233.09,1.1,1.1,1.09,0
236.72,235.91,236.48,1.1,1.09,1.11,0
238.3,238.16,238.45,1.06,1.09,1.06,0
236.98,240.98,242.58,0.95,1.22,1.28,1
243.08,235.28,235.57,1.13,1.35,1.39,1
244.6,232.34,239.71,0.89,1.0,0.83,1
237.61,237.19,237.03,1.03,1.06,1.05,0
233.04,230.1,240.47,1.46,1.0,1.2,1
238.79,238.88,239.64,1.09,1.12,1.1,0
234.53,237.31,230.51,0.92,0.87,1.4,1
241.31,232.99,233.86,0.87,1.16,1.3,1
241.86,241.49,241.29,0.99,0.99,1.02,0
244.19,238.72,242.46,1.33,1.21,1.14,1
242.36,243.18,242.77,1.06,1.07,1.08,0
239.59,236.89,238.35,1.23,1.13,1.05,1
240.77,244.22,244.97,1.12,1.19,1.09,1
230.87,237.96,233.84,0.92,1.39,0.83,1
239.86,236.87,243.76,0.97,1.36,1.16,1
231.1,232.75,236.02,0.91,1.11,0.94,1
231.0,231.11,231.45,1.13,1.13,1.12,0
232.92,233.64,233.5,0.99,1.01,1.0,0
240.94,241.65,241.42,1.03,1.06,1.05,0
235.46,235.9,242.82,1.31,1.11,1.3,1
232.32,242.34,232.51,1.46,1.04,1.2,1
232.5,241.88,236.31,1.48,1.48,0.91,1
241.87,244.75,235.14,0.8,1.0,1.45,1
236.68,231.64,244.16,1.18,1.37,1.09,1
239.08,239.51,239.58,1.13,1.15,1.14,0
236.96,231.24,243.37,1.5,1.47,0.86,1
234.24,241.33,237.01,0.97,1.1,1.42,1
236.77,230.27,236.51,1.37,1.01,1.2,1
241.91,244.8,239.56,1.02,1.46,1.37,1
244.4,242.22,232.44,1.04,0.97,1.49,1
242.04,242.15,242.03,1.08,1.09,1.07,0
244.42,244.41,244.36,1.15,1.13,1.14,0
234.49,234.81,234.07,1.05,1.03,1.04,0
231.16,230.88,231.26,1.13,1.14,1.14,0
243.84,244.16,243.94,1.03,1.02,1.04,0
238.13,237.37,237.91,1.08,1.09,1.08,0
230.75,237.02,244.29,1.39,1.45,1.49,1
236.62,237.0,236.91,1.09,1.12,1.09,0
234.13,237.95,240.04,0.98,1.15,0.9,1
241.0,241.33,241.4,1.06,1.05,1.07,0
241.65,242.72,238.04,1.05,0.8,1.18,1
242.48,242.03,242.26,1.04,1.03,1.04,0
237.19,232.18,243.65,1.38,0.84,1.11,1
230.83,238.67,238.5,1.46,0.96,1.47,1
241.33,230.32,232.02,0.99,0.88,1.09,1
239.09,240.38,243.44,1.22,1.38,0.84,1
244.08,241.2,242.8,1.2,1.03,1.15,1
238.97,232.3,231.85,1.07,0.97,1.22,1
230.48,230.3,230.67,1.16,1.18,1.16,0
237.44,231.48,236.67,0.87,0.81,1.06,1
238.99,243.77,238.57,1.08,1.43,1.46,1
240.13,242.2,242.45,1.19,0.85,1.41,1
238.24,237.4,238.02,1.12,1.12,1.15,0
235.44,242.98,236.48,0.85,1.39,0.82,1
233.36,230.74,234.91,0.89,0.93,1.13,1
231.23,232.63,232.04,1.48,0.8,1.48,1
244.33,238.39,237.14,1.49,1.2,1.01,1
238.75,238.14,239.09,1.21,1.2,1.22,0
235.14,234.91,234.91,1.17,1.17,1.14,0
234.92,237.14,231.53,1.22,0.89,1.17,1
234.46,234.63,234.3,1.16,1.15,1.16,0
233.41,243.8,243.9,0.93,1.33,1.43,1
238.22,237.8,237.89,1.16,1.15,1.16,0
244.57,235.9,235.46,1.18,1.26,1.18,1
235.05,232.6,231.61,1.23,1.19,1.19,1
241.55,243.05,243.72,1.17,0.86,1.49,1
236.33,236.18,236.48,1.02,1.01,1.04,0
233.68,240.79,238.55,0.84,1.44,1.35,1
235.31,244.1,236.83,0.92,1.1,0.81,1
243.92,243.64,243.74,1.19,1.2,1.19,0
243.09,243.79,243.06,1.12,1.12,1.13,0
232.17,232.69,232.45,1.12,1.15,1.11,0
234.18,235.3,237.93,1.03,1.37,1.05,1
233.86,233.64,233.49,1.06,1.09,1.08,0
239.8,240.11,231.53,1.32,1.07,1.1,1
234.29,234.56,233.81,1.18,1.21,1.19,0
243.54,240.65,236.9,1.1,0.84,1.35,1
238.75,234.3,234.02,1.18,1.26,0.96,1
240.72,238.0,237.41,1.38,0.87,1.37,1
239.92,239.64,239.96,1.14,1.13,1.12,0
239.23,239.02,239.91,1.05,1.03,1.02,0
240.94,234.82,236.51,1.4,0.9,1.37,1
232.54,238.0,238.52,1.13,1.03,1.35,1
237.34,236.99,237.38,1.12,1.12,1.13,0
231.85,231.79,231.41,1.18,1.15,1.15,0
235.88,236.43,236.25,1.07,1.07,1.06,0
243.81,235.57,232.65,1.33,0.9,1.22,1
230.35,234.14,235.86,1.19,1.3,1.21,1
230.24,230.59,230.53,1.15,1.15,1.13,0
233.4,232.44,236.33,0.94,0.81,1.27,1
244.03,231.97,231.56,1.26,0.8,0.91,1
239.77,241.05,232.88,1.36,1.08,0.82,1
237.91,238.43,238.56,1.11,1.12,1.11,0
230.55,230.13,230.75,1.16,1.16,1.16,0
239.08,241.11,242.68,1.12,0.91,0.86,1
236.3,235.12,232.22,1.41,1.46,1.02,1
243.87,237.14,236.8,1.3,1.25,0.87,1
239.79,240.21,240.39,1.2,1.21,1.19,0
235.96,236.21,236.41,1.13,1.11,1.13,0
242.46,242.5,242.71,1.15,1.14,1.15,0
237.66,238.05,237.2,1.01,0.99,0.99,0
239.18,239.0,238.31,1.1,1.09,1.1,0
239.28,232.41,244.49,1.13,1.01,1.25,1
234.26,234.78,234.82,1.07,1.07,1.08,0
